2019-01-21T06:48:26.481Z - info: Website generation started at 2:48:23 PM
2019-01-21T07:20:38.808Z - info: [3:20:38 PM] Reload for file change: C:\repos\nus-te3201\te3201-2019-website\programming\errors-exceptions-raising\e-isEvenIntegerInRange.md
2019-01-21T07:20:38.808Z - info: [3:20:38 PM] Reload for file change: C:\repos\nus-te3201\te3201-2019-website\programming\errors-exceptions-raising\e-flexibleWordGame.md
2019-01-21T07:20:38.808Z - info: [3:20:38 PM] Reload for file change: C:\repos\nus-te3201\te3201-2019-website\programming\oop-classes\e-createStockItemClass.md
2019-01-21T07:20:38.808Z - info: [3:20:38 PM] Reload for file change: C:\repos\nus-te3201\te3201-2019-website\programming\oop-classLevelMembers\e-addClassLevelMembersToSubjectClass.md
2019-01-21T07:20:38.808Z - info: [3:20:38 PM] Reload for file change: C:\repos\nus-te3201\te3201-2019-website\programming\oop-visibility\e-changeVisibilityOfSchoolClassMembers.md
2019-01-21T07:20:38.808Z - info: [3:20:38 PM] Reload for file change: C:\repos\nus-te3201\te3201-2019-website\programming\thirdparty\e-printErrorsInRed.md
2019-01-21T07:20:38.821Z - info: [3:20:38 PM] Reload for file change: C:\repos\nus-te3201\te3201-2019-website\_markbind\navigation\adminSiteNav-te3201.md
2019-01-21T07:20:42.120Z - info: Assets built
2019-01-21T07:20:59.691Z - info: Pages rebuilt
2019-01-21T07:20:59.710Z - info: Site data built
